日期,指标代码,指标名称,数值,单位,频率,来源
2020-08-03,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9845,人民币/美元,日度,Frankfurter API
2020-08-04,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9832,人民币/美元,日度,Frankfurter API
2020-08-05,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9409,人民币/美元,日度,Frankfurter API
2020-08-06,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9514,人民币/美元,日度,Frankfurter API
2020-08-07,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9593,人民币/美元,日度,Frankfurter API
2020-08-10,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9713,人民币/美元,日度,Frankfurter API
2020-08-11,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.947,人民币/美元,日度,Frankfurter API
2020-08-12,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9457,人民币/美元,日度,Frankfurter API
2020-08-13,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9456,人民币/美元,日度,Frankfurter API
2020-08-14,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.95,人民币/美元,日度,Frankfurter API
